Sample in Buffer,Sample in Window,TRIGGER,data_interface_chs_ctrl_inst/read_flag,data_interface_chs_ctrl_inst/ad_data1_en_c1r1_1,data_interface_chs_ctrl_inst/ad_data1_c1r1_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r2_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r3_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r4_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r5_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r6_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r7_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r8_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r8[30:19],data_interface_chs_ctrl_inst/calibrate_pulse_2,data_interface_chs_ctrl_inst/refresh_pulse_2,data_interface_chs_ctrl_inst/check_cnt_2[27:0],data_interface_chs_ctrl_inst/ad_data1_c3r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r8[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r8[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r8[30:19],data_interface_chs_ctrl_inst/addata1_cnt[16:0]
17,17,0,1,1,79,-51,-9,81,75,-83,49,-3,19,-7,-25,-25,43,-1,-19,54,0,0,0,-27,-23,60,-50,38,-4,-12,39,50,-70,36,-69,-67,53,-67,95,0,0,0,0,0,0,0,0,1262
18,18,0,1,1,86,-55,-15,76,79,-89,52,-8,28,-6,-46,-24,43,4,-23,55,0,0,0,-36,-10,65,-57,36,-8,-30,48,37,-66,39,-60,-63,72,-55,110,0,0,0,0,0,0,0,0,1263
19,19,0,1,1,73,-46,-3,81,90,-79,46,-8,0,-3,-40,-26,41,-4,-5,71,0,0,0,-54,-9,49,-53,55,-8,-20,37,40,-76,43,-59,-68,64,-67,97,0,0,0,0,0,0,0,0,1264
20,20,0,1,1,1,5,4,-7,6,3,-20,3,18,-5,-4,-9,7,3,11,0,0,0,0,5,1,-17,-1,3,-8,-1,-18,45,-71,28,-77,-71,60,-60,108,0,0,0,0,0,0,0,0,1265
21,21,0,1,1,-74,47,5,-89,-98,77,-56,-1,-16,5,38,27,-50,0,22,-70,0,0,0,44,24,-66,59,-49,8,14,-41,-20,12,-13,8,28,3,11,5,0,0,0,0,0,0,0,0,1266
22,22,0,1,1,1,6,-1,-12,-16,0,-11,1,10,0,-10,0,3,3,14,-6,0,0,0,3,-3,7,6,-3,-6,4,-10,-40,62,-45,77,79,-80,69,-114,0,0,0,0,0,0,0,0,1267
23,23,0,1,1,77,-40,-10,73,97,-82,56,-5,10,-6,-42,-27,43,8,-27,66,0,0,0,-45,-28,63,-53,51,-11,-32,44,-3,-2,5,-8,-20,2,-11,0,0,0,0,0,0,0,0,0,1268
24,24,0,1,1,69,-48,-18,77,83,-73,63,-8,-2,-2,-26,-22,32,-11,-26,64,0,0,0,-32,-21,59,-49,42,1,-13,42,46,-61,35,-99,-55,83,-73,104,0,0,0,0,0,0,0,0,1269
25,25,0,1,1,64,-42,-1,68,75,-75,41,-2,25,-1,-33,-12,35,-2,-10,54,0,0,0,-35,-14,47,-49,49,-1,-25,38,71,-68,45,-73,-85,49,-59,91,0,0,0,0,0,0,0,0,0126a
26,26,0,1,1,77,-37,-12,62,80,-84,47,-4,11,-3,-29,-19,35,2,-16,61,0,0,0,-31,-19,54,-49,44,-12,-35,50,39,-74,25,-62,-65,63,-60,100,0,0,0,0,0,0,0,0,0126b
27,27,0,1,1,65,-55,-13,59,70,-78,48,0,39,-5,-40,-20,47,-7,-20,61,0,0,0,-27,-10,57,-55,38,-2,-17,29,34,-77,21,-80,-47,72,-55,99,0,0,0,0,0,0,0,0,0126c
28,28,0,1,1,61,-56,-5,69,71,-79,53,-8,17,-2,-42,-21,35,-2,-30,71,0,0,0,-41,-14,48,-47,50,4,-20,47,44,-61,39,-56,-69,51,-63,101,0,0,0,0,0,0,0,0,0126d
29,29,0,1,1,68,-47,-15,64,73,-70,61,-7,4,-2,-27,-26,37,1,-19,57,0,0,0,-17,-14,53,-34,40,-2,-25,33,38,-67,21,-71,-56,69,-57,108,0,0,0,0,0,0,0,0,0126e
30,30,0,1,1,-4,0,3,-3,-1,1,-7,2,4,-4,3,2,12,-2,3,-10,0,0,0,-2,-1,-10,4,0,-3,7,0,37,-66,36,-61,-68,52,-51,90,0,0,0,0,0,0,0,0,0126f
31,31,0,1,1,-75,38,6,-78,-88,73,-50,2,-31,5,32,23,-34,-17,29,-79,0,0,0,34,12,-61,43,-40,-16,22,-50,3,-3,-6,16,11,-6,8,-5,0,0,0,0,0,0,0,0,1270
32,32,0,1,1,-3,-3,7,-12,-3,2,9,1,-6,-3,-1,10,-5,3,2,-11,0,0,0,1,-4,3,3,8,2,-7,-12,-41,57,-33,70,76,-55,68,-93,0,0,0,0,0,0,0,0,1271
33,33,0,1,1,74,-43,-3,75,93,-87,49,-10,23,-7,-36,-21,37,5,-25,73,0,0,0,-50,-28,60,-41,53,3,-19,67,4,-15,17,-2,-26,8,-15,-7,0,0,0,0,0,0,0,0,1272
34,34,0,1,1,-11,-13,1,1,7,-9,4,-2,8,0,-13,-10,6,-11,7,0,0,0,0,4,12,-4,-3,10,5,-5,-9,46,-92,38,-75,-92,66,-63,101,0,0,0,0,0,0,0,0,1273
35,35,0,1,1,-77,45,20,-73,-88,76,-58,7,-22,-2,36,34,-37,-2,29,-72,0,0,0,22,12,-65,42,-44,11,29,-46,-3,-4,-15,2,5,-7,14,13,0,0,0,0,0,0,0,0,1274
36,36,0,1,1,-55,46,9,-70,-84,63,-52,1,-14,1,35,25,-30,-1,29,-74,0,0,0,27,19,-57,37,-45,3,20,-54,-46,46,-45,70,66,-72,62,-110,0,0,0,0,0,0,0,0,1275
37,37,0,1,1,-69,34,3,-80,-74,78,-51,8,-5,4,22,28,-34,-1,20,-64,0,0,0,35,23,-70,44,-36,-2,15,-58,-60,47,-38,77,60,-73,57,-98,0,0,0,0,0,0,0,0,1276
38,38,0,1,1,-74,52,11,-73,-74,78,-63,3,-22,4,42,27,-34,-3,20,-66,0,0,0,21,3,-65,53,-46,-6,32,-30,-49,77,-52,65,69,-53,52,-89,0,0,0,0,0,0,0,0,1277
39,39,0,1,1,-64,48,13,-61,-83,70,-59,0,1,4,29,21,-32,-5,26,-61,0,0,0,39,26,-51,41,-42,8,18,-51,-57,63,-32,52,52,-66,61,-108,0,0,0,0,0,0,0,0,1278
40,40,0,1,1,-57,33,11,-71,-85,65,-58,4,-1,3,20,35,-32,4,31,-59,0,0,0,29,9,-65,46,-45,-10,11,-58,-67,51,-41,65,61,-67,59,-90,0,0,0,0,0,0,0,0,1279
41,41,0,1,1,-57,44,16,-69,-72,57,-58,1,-25,-1,32,19,-26,11,24,-66,0,0,0,24,24,-65,41,-44,-3,15,-54,-50,66,-45,67,68,-53,63,-92,0,0,0,0,0,0,0,0,0127a
42,42,0,1,1,-78,51,19,-70,-86,90,-54,9,-13,1,33,28,-39,-4,22,-67,0,0,0,30,33,-65,40,-36,7,21,-47,-52,77,-41,71,63,-70,61,-114,0,0,0,0,0,0,0,0,0127b
43,43,0,1,1,-64,53,5,-81,-88,72,-60,0,-20,2,37,18,-26,1,25,-68,0,0,0,34,4,-59,43,-45,-10,7,-54,-64,56,-46,70,74,-65,63,-113,0,0,0,0,0,0,0,0,0127c
44,44,0,1,1,5,3,-5,-10,0,3,2,-3,-7,-3,-8,1,0,5,-11,9,0,0,0,0,0,3,-10,-5,2,12,-3,-56,60,-35,58,68,-54,63,-97,0,0,0,0,0,0,0,0,0127d
45,45,0,1,1,63,-54,-18,73,93,-75,80,-2,39,-2,-50,-19,42,-13,-33,70,0,0,0,-40,-24,61,-50,48,1,-8,55,14,9,-1,-2,-15,-17,-23,-3,0,0,0,0,0,0,0,0,0127e
46,46,0,1,1,-6,1,-8,13,11,-14,-1,-5,15,-4,2,-9,13,-10,-4,-9,0,0,0,14,-3,-3,-8,-1,3,-11,-5,55,-69,43,-75,-79,58,-66,101,0,0,0,0,0,0,0,0,0127f
47,47,0,1,1,-68,41,6,-68,-87,85,-59,4,-18,1,35,33,-46,-5,18,-72,0,0,0,33,27,-68,41,-48,4,33,-36,-4,10,-5,1,4,10,6,0,0,0,0,0,0,0,0,0,1280
48,48,0,1,1,-5,-6,-10,-10,-4,4,3,-7,-8,0,6,-1,-4,-2,-7,-8,0,0,0,-18,-9,12,4,-2,2,-4,9,-49,68,-38,79,69,-72,59,-103,0,0,0,0,0,0,0,0,1281
49,49,0,1,1,73,-50,-22,76,82,-72,64,-6,28,-7,-46,-32,38,5,-41,61,0,0,0,-34,-23,85,-44,40,7,-17,61,12,-5,7,1,-11,4,-4,1,0,0,0,0,0,0,0,0,1282
50,50,1,1,1,100,-55,-24,82,96,-76,75,-4,31,-1,-55,-38,57,-5,-32,71,0,0,0,-35,-9,69,-57,46,7,-5,63,62,-67,49,-65,-97,65,-74,87,0,0,0,0,0,0,0,0,1283
51,51,0,1,1,57,-45,-12,66,87,-70,59,-7,1,-5,-31,-24,40,-6,-29,63,0,0,0,-38,-20,53,-51,35,7,-25,44,52,-74,37,-80,-77,52,-73,106,0,0,0,0,0,0,0,0,1284
52,52,0,1,1,-7,-13,-6,14,-4,-4,1,-1,10,-4,-6,-6,-2,-5,-7,2,0,0,0,11,-1,-12,-2,2,-7,-7,-1,49,-55,32,-69,-61,69,-62,110,0,0,0,0,0,0,0,0,1285
53,53,0,1,1,-58,40,9,-65,-81,81,-46,1,-17,2,29,17,-26,-8,27,-65,0,0,0,36,18,-73,37,-39,3,20,-60,1,3,13,3,-1,3,3,-1,0,0,0,0,0,0,0,0,1286
54,54,0,1,1,8,2,3,-11,5,5,8,0,0,-1,-9,9,-7,6,-3,-6,0,0,0,-14,-13,12,-4,-7,-5,3,-2,-50,57,-62,63,71,-69,63,-101,0,0,0,0,0,0,0,0,1287
55,55,0,1,1,90,-54,-15,81,101,-96,59,-6,17,-4,-35,-44,51,6,-25,61,0,0,0,-39,-15,74,-67,42,-18,-27,48,-8,-8,3,-5,-18,10,1,11,0,0,0,0,0,0,0,0,1288
56,56,0,1,1,1,2,1,9,8,-11,10,0,-17,1,0,-9,13,-9,0,-3,0,0,0,-3,8,-8,-20,-1,-4,-6,-9,66,-67,45,-91,-71,76,-70,106,0,0,0,0,0,0,0,0,1289
57,57,0,1,1,-68,44,19,-74,-92,68,-75,-1,-11,3,39,34,-45,-5,28,-67,0,0,0,40,23,-70,43,-36,-7,11,-48,0,0,-22,-9,20,-3,2,4,0,0,0,0,0,0,0,0,0128a
58,58,0,1,1,-58,51,13,-69,-82,59,-58,5,-5,-2,31,30,-29,10,25,-71,0,0,0,30,18,-56,48,-38,-9,11,-55,-77,58,-50,70,82,-65,73,-89,0,0,0,0,0,0,0,0,0128b
59,59,0,1,1,-58,52,6,-75,-77,66,-32,5,-9,1,19,21,-25,1,23,-60,0,0,0,8,11,-47,47,-36,-5,24,-41,-42,58,-47,65,52,-60,52,-92,0,0,0,0,0,0,0,0,0128c
60,60,0,1,1,-60,40,24,-74,-79,75,-49,6,-17,3,48,12,-35,0,36,-53,0,0,0,24,20,-47,43,-34,3,15,-53,-50,52,-35,66,56,-70,52,-102,0,0,0,0,0,0,0,0,0128d
61,61,0,1,1,-60,47,21,-58,-83,61,-52,6,-6,2,36,28,-40,-5,23,-63,0,0,0,32,13,-60,41,-47,-4,12,-66,-54,59,-49,65,78,-61,65,-102,0,0,0,0,0,0,0,0,0128e
62,62,0,1,1,-68,47,8,-72,-85,71,-58,2,-7,-1,35,33,-34,-12,17,-78,0,0,0,34,10,-74,48,-45,-9,14,-43,-53,66,-38,59,65,-58,62,-88,0,0,0,0,0,0,0,0,0128f
63,63,0,1,1,-72,46,16,-77,-81,73,-51,5,-10,2,38,31,-43,-4,21,-74,0,0,0,30,6,-62,55,-36,0,20,-48,-58,63,-42,65,81,-60,63,-104,0,0,0,0,0,0,0,0,1290
64,64,0,1,1,-55,44,4,-75,-79,73,-52,0,5,3,24,26,-40,-5,24,-64,0,0,0,36,28,-62,43,-43,-2,29,-52,-36,79,-40,70,74,-67,59,-110,0,0,0,0,0,0,0,0,1291
65,65,0,1,1,-68,40,8,-78,-81,90,-42,5,-15,-1,36,25,-35,-13,22,-73,0,0,0,34,20,-54,43,-46,1,18,-41,-60,64,-31,68,64,-80,60,-102,0,0,0,0,0,0,0,0,1292
66,66,0,1,1,-15,-1,-5,-14,-13,14,8,-4,-10,-2,7,9,-9,-9,-7,-3,0,0,0,2,-18,17,16,-5,5,7,10,-58,51,-46,65,69,-61,64,-108,0,0,0,0,0,0,0,0,1293
67,67,0,1,1,73,-45,-15,76,84,-69,61,-4,23,-7,-34,-30,36,11,-29,78,0,0,0,-31,-10,68,-46,39,-1,-13,37,9,17,14,-1,-1,-3,1,-9,0,0,0,0,0,0,0,0,1294
68,68,0,1,1,60,-52,-3,88,81,-74,58,-5,21,-5,-34,-25,31,-4,-30,65,0,0,0,-43,-27,53,-58,43,5,-11,50,40,-65,44,-75,-78,59,-66,95,0,0,0,0,0,0,0,0,1295
69,69,0,1,1,47,-55,-25,65,77,-84,50,-10,21,-2,-32,-19,31,-1,-24,58,0,0,0,-20,-23,55,-37,31,1,-14,54,52,-53,37,-69,-73,63,-61,99,0,0,0,0,0,0,0,0,1296
70,70,0,1,1,-5,-4,0,6,13,0,16,-2,-18,1,12,-4,0,-9,-8,-2,0,0,0,-6,-2,2,8,-3,-6,-11,1,64,-41,58,-58,-59,68,-52,103,0,0,0,0,0,0,0,0,1297
71,71,0,1,1,-68,53,15,-66,-97,81,-53,0,-29,2,44,26,-41,-25,11,-80,0,0,0,23,12,-65,46,-35,1,26,-45,16,8,2,1,6,7,2,4,0,0,0,0,0,0,0,0,1298
72,72,0,1,1,-62,41,14,-74,-87,68,-55,7,-19,0,34,25,-46,-4,25,-76,0,0,0,39,27,-59,45,-41,-12,15,-61,-42,82,-44,71,77,-66,73,-99,0,0,0,0,0,0,0,0,1299
73,73,0,1,1,-67,37,10,-62,-71,69,-42,4,-26,2,34,30,-44,-8,23,-64,0,0,0,16,13,-60,42,-34,-8,14,-31,-59,56,-36,60,58,-55,64,-104,0,0,0,0,0,0,0,0,0129a
74,74,0,1,1,-3,10,-19,-5,-17,3,6,-3,15,0,-2,0,-4,3,-8,-18,0,0,0,-5,-21,4,11,-6,3,6,-3,-37,60,-30,62,55,-64,50,-103,0,0,0,0,0,0,0,0,0129b
75,75,0,1,1,71,-49,-9,76,88,-88,56,-9,20,-4,-43,-35,34,10,-29,69,0,0,0,-20,-20,63,-42,34,8,-23,44,4,0,16,8,0,-6,-1,-1,0,0,0,0,0,0,0,0,0129c
76,76,0,1,1,62,-57,-13,87,94,-88,54,-9,13,-3,-46,-14,34,2,-29,68,0,0,0,-29,-19,47,-55,47,8,-18,56,48,-78,46,-68,-83,62,-78,104,0,0,0,0,0,0,0,0,0129d
77,77,0,1,1,70,-51,-19,67,82,-81,58,-5,16,-4,-42,-16,43,-7,-26,48,0,0,0,-36,-30,64,-61,36,-3,-18,37,73,-58,38,-63,-62,67,-63,100,0,0,0,0,0,0,0,0,0129e
78,78,0,1,1,62,-45,-14,73,94,-82,55,-8,11,-8,-41,-18,46,-3,-20,63,0,0,0,-37,-19,62,-51,42,-1,-22,40,52,-64,31,-73,-64,62,-62,104,0,0,0,0,0,0,0,0,0129f
79,79,0,1,1,56,-40,-5,78,77,-70,45,-7,0,-8,-25,-7,35,-3,-28,54,0,0,0,-38,-22,53,-42,45,12,-15,40,58,-65,35,-61,-76,60,-71,100,0,0,0,0,0,0,0,0,012a0
80,80,0,1,1,91,-46,-11,74,66,-82,52,-6,11,-2,-39,-28,48,-7,-24,59,0,0,0,-34,-5,59,-62,31,-3,-19,41,60,-61,44,-53,-62,63,-52,94,0,0,0,0,0,0,0,0,012a1
81,81,0,1,1,65,-49,-23,74,74,-74,52,-5,21,-2,-46,-29,35,3,-22,48,0,0,0,-25,-19,50,-41,41,-10,-21,40,30,-73,28,-82,-64,70,-61,110,0,0,0,0,0,0,0,0,012a2
82,82,0,1,1,63,-49,-5,70,81,-62,48,-7,8,-4,-35,-23,27,-6,-24,62,0,0,0,-40,-23,55,-43,42,17,-12,56,64,-60,33,-69,-67,60,-59,93,0,0,0,0,0,0,0,0,012a3
83,83,0,1,1,82,-42,-10,73,84,-81,51,-5,18,-1,-35,-22,32,-3,-16,75,0,0,0,-41,-13,54,-43,40,-6,-21,33,64,-68,41,-68,-83,54,-63,87,0,0,0,0,0,0,0,0,012a4
84,84,0,1,1,-5,3,1,-3,3,-12,-8,-5,-2,-4,7,1,3,0,-3,-8,0,0,0,5,-6,-3,12,7,-9,2,-6,42,-70,26,-76,-59,76,-57,99,0,0,0,0,0,0,0,0,012a5
85,85,0,1,1,-66,37,10,-85,-86,67,-65,5,-14,6,30,21,-21,-3,35,-63,0,0,0,28,10,-70,31,-49,0,1,-54,2,7,-9,7,10,-7,7,7,0,0,0,0,0,0,0,0,012a6
86,86,0,1,1,-2,2,-5,-3,-10,-2,-8,1,-10,2,2,11,-5,16,15,-12,0,0,0,-8,-5,-2,2,-3,-6,-13,-23,-67,64,-44,74,58,-75,53,-98,0,0,0,0,0,0,0,0,012a7
87,87,0,1,1,67,-41,0,77,81,-78,50,-9,18,-6,-38,-28,35,11,-21,58,0,0,0,-41,-16,67,-51,42,7,-15,58,-7,-9,-4,-11,-1,4,-2,-11,0,0,0,0,0,0,0,0,012a8
88,88,0,1,1,73,-47,-10,72,86,-74,45,-3,20,0,-47,-35,36,-4,-14,73,0,0,0,-37,-28,56,-64,49,-5,-20,45,52,-82,42,-75,-84,60,-79,98,0,0,0,0,0,0,0,0,012a9
89,89,0,1,1,58,-46,-9,69,79,-68,46,-6,-2,-5,-25,-26,32,3,-25,58,0,0,0,-36,-17,55,-45,48,5,-19,41,47,-76,35,-64,-72,59,-73,96,0,0,0,0,0,0,0,0,012aa
90,90,0,1,1,62,-47,-14,66,80,-83,45,-4,14,-1,-25,-23,44,7,-30,51,0,0,0,-23,-20,53,-45,41,-8,-33,46,51,-71,29,-64,-66,54,-59,95,0,0,0,0,0,0,0,0,012ab
91,91,0,1,1,73,-44,-17,65,89,-83,52,-6,6,-6,-33,-17,36,-4,-22,59,0,0,0,-38,-17,60,-49,42,-12,-21,35,55,-60,42,-64,-75,62,-71,95,0,0,0,0,0,0,0,0,012ac
92,92,0,1,1,73,-62,-9,73,82,-77,64,-5,17,-1,-44,-29,51,-12,-25,73,0,0,0,-45,-13,63,-56,45,-1,-21,36,53,-63,32,-70,-68,59,-65,98,0,0,0,0,0,0,0,0,012ad
93,93,0,1,1,66,-54,-18,69,80,-80,50,-7,17,-1,-46,-22,57,-5,-27,56,0,0,0,-24,-19,59,-53,50,-19,-18,35,52,-71,28,-78,-74,64,-71,122,0,0,0,0,0,0,0,0,012ae
94,94,0,1,1,5,-4,16,-16,7,-7,-8,-6,9,-5,3,2,6,-3,8,-14,0,0,0,-13,24,-23,-6,5,-1,1,-2,50,-55,30,-74,-66,72,-58,118,0,0,0,0,0,0,0,0,012af
