Sample in Buffer,Sample in Window,TRIGGER,data_interface_chs_ctrl_inst/read_flag,data_interface_chs_ctrl_inst/ad_data1_en_c1r1_1,data_interface_chs_ctrl_inst/ad_data1_c1r1_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r2_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r3_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r4_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r5_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r6_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r7_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r8_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r8[30:19],data_interface_chs_ctrl_inst/calibrate_pulse_2,data_interface_chs_ctrl_inst/refresh_pulse_2,data_interface_chs_ctrl_inst/check_cnt_2[27:0],data_interface_chs_ctrl_inst/ad_data1_c3r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r8[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r8[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r8[30:19],data_interface_chs_ctrl_inst/addata1_cnt[16:0]
0,0,0,1,1,-53,48,9,-74,-85,60,-54,4,-21,3,25,27,-28,10,31,-63,0,0,0,24,17,-51,32,-42,-16,19,-62,-63,54,-42,78,78,-61,56,-97,0,0,0,0,0,0,0,0,1251
1,1,0,1,1,-56,42,6,-74,-85,78,-50,4,-29,1,28,31,-33,-10,17,-72,0,0,0,36,24,-63,34,-47,2,27,-41,-58,68,-44,64,70,-68,57,-104,0,0,0,0,0,0,0,0,1252
2,2,0,1,1,-10,-4,-8,-13,-12,17,-2,5,-10,-2,0,15,-3,-4,-6,0,0,0,0,-16,-8,-1,2,-4,13,7,3,-50,74,-44,58,68,-65,66,-101,0,0,0,0,0,0,0,0,1253
3,3,0,1,1,64,-48,-16,66,88,-81,60,-8,9,-3,-37,-25,40,-7,-25,70,0,0,0,-42,-18,67,-41,37,-2,-12,39,7,10,6,8,-3,1,2,4,0,0,0,0,0,0,0,0,1254
4,4,0,1,1,59,-61,-13,80,88,-63,52,-7,18,-5,-40,-20,40,-22,-28,65,0,0,0,-7,7,51,-57,35,1,-21,47,75,-53,57,-65,-73,59,-72,89,0,0,0,0,0,0,0,0,1255
5,5,0,1,1,44,-43,-19,69,83,-65,65,-8,7,-2,-40,-25,43,-5,-21,68,0,0,0,-24,-27,46,-47,38,5,-22,40,54,-67,37,-74,-69,54,-72,93,0,0,0,0,0,0,0,0,1256
6,6,0,1,1,-8,-1,-7,0,16,-5,6,4,1,-3,12,-11,-1,-1,-6,-3,0,0,0,-2,-4,6,14,0,1,4,13,46,-64,37,-72,-53,53,-58,101,0,0,0,0,0,0,0,0,1257
7,7,0,1,1,-68,45,18,-75,-97,93,-59,5,-28,1,46,30,-51,1,17,-65,0,0,0,36,25,-74,50,-50,1,13,-40,-9,1,9,6,0,22,21,0,0,0,0,0,0,0,0,0,1258
8,8,0,1,1,-73,58,3,-79,-98,75,-54,0,-15,4,32,5,-35,7,22,-62,0,0,0,38,15,-62,47,-60,-9,11,-52,-74,74,-50,74,94,-64,80,-102,0,0,0,0,0,0,0,0,1259
9,9,0,1,1,-69,41,5,-67,-83,62,-60,7,-12,0,37,17,-31,9,24,-71,0,0,0,24,12,-45,58,-46,-9,21,-41,-47,73,-34,72,72,-65,68,-114,0,0,0,0,0,0,0,0,0125a
10,10,0,1,1,7,5,1,-1,-12,5,1,-2,-17,-2,-3,-3,6,3,1,3,0,0,0,-6,-13,-9,4,-9,3,3,-5,-47,55,-35,66,54,-55,56,-98,0,0,0,0,0,0,0,0,0125b
11,11,0,1,1,97,-50,-14,85,88,-82,48,-8,17,-5,-48,-32,33,2,-23,77,0,0,0,-31,-20,64,-62,42,-2,-28,38,-12,-8,-4,-11,18,-10,-4,3,0,0,0,0,0,0,0,0,0125c
12,12,0,1,1,85,-59,1,92,94,-87,49,-2,36,-11,-47,-22,27,5,-19,79,0,0,0,-36,-15,54,-57,52,8,-16,40,53,-71,39,-73,-85,67,-67,103,0,0,0,0,0,0,0,0,0125d
13,13,0,1,1,61,-50,-23,65,84,-72,54,-4,36,-4,-52,-26,48,-3,-21,65,0,0,0,-21,-11,54,-56,36,5,-28,32,43,-83,30,-60,-81,52,-75,107,0,0,0,0,0,0,0,0,0125e
14,14,0,1,1,82,-56,-12,71,84,-80,48,-9,15,-4,-46,-19,39,-3,-23,72,0,0,0,-38,-10,58,-62,39,-3,-21,42,39,-81,30,-56,-61,55,-58,101,0,0,0,0,0,0,0,0,0125f
15,15,0,1,1,78,-46,-13,64,75,-74,51,-4,24,-10,-40,-36,37,-2,-29,76,0,0,0,-37,-7,55,-48,33,-8,-10,48,60,-70,26,-73,-62,68,-54,117,0,0,0,0,0,0,0,0,1260
16,16,0,1,1,57,-45,-17,67,79,-67,60,-3,4,-1,-21,-29,38,-9,-21,62,0,0,0,-34,-9,56,-42,44,-5,-26,40,56,-68,38,-67,-63,52,-71,93,0,0,0,0,0,0,0,0,1261
